project_id,skill_name,skill_uri
1942,Relational Database Transactions,taxonomy:704a6968-b8ad-4b1b-b9d0-c1ff66aca5b8
1942,Data Manipulation,taxonomy:3b0d8825-c2f8-4ebb-b068-a3d01a42d17f
1942,Data Normalization,taxonomy:896ad152-3410-4374-9917-66123e0edf3e
168,Healthcare Privacy Regulations,taxonomy:25032942-00ff-4203-aa73-980c8e159134
168,Medical and Healthcare Regulations and Standards,taxonomy:dac03176-1305-4c65-81d7-9ab1e644b5c3
168,Data Privacy Fundamentals,taxonomy:bb51f7fb-2b56-4845-9918-2ce368ae4491
168,Data Privacy Principles,taxonomy:fc6603f7-4599-48fb-9b2d-3c51c8eb75ab
168,Privacy Risk Assessment,taxonomy:3591329c-03b1-40d4-85a1-7109b4191819
2021,Automated Path Planning,taxonomy:979f4f4b-6145-4234-aef3-d0598f759016
2021,Automated Plan Optimization,taxonomy:50ae698a-09d7-4c98-a101-d8d5ff6e0ef3
2021,Automated Planning Heuristics,taxonomy:5cbe14bf-020f-4054-871d-56349192085f
2021,Intelligent Agents,taxonomy:fc8c02aa-78c9-4bb8-8548-79cb60de45d9
2021,Planning Algorithms,taxonomy:8cc6ebe7-f9ac-4a12-976f-dd9fb92a5d29
2021,Search Algorithms,taxonomy:ece176fa-7b56-46a2-8139-49cc164aa233
2021,State Space Search,taxonomy:3ae67cd0-a7aa-4626-8ede-e51cb10f8692
2162,AI-Assisted Drug Discovery,taxonomy:b27d124d-355f-4a6a-9a18-a2d2a5611675
2162,Intelligent Agents,taxonomy:fc8c02aa-78c9-4bb8-8548-79cb60de45d9
2162,Information Extraction,taxonomy:b9e6bef0-cce2-499a-94a7-8558aa693c60
2162,NLP Pipelines,taxonomy:5eee9597-5730-40eb-9b20-707e9de447af
2162,Text Classification,taxonomy:978d1c8a-bf58-4ae5-91b8-fdb1b86e25a3
2162,Deep Learning Applications,taxonomy:6a3b7e80-add4-4f3a-842e-22cb86ec84db
2162,Transformer Neural Networks,taxonomy:73869043-af4b-441d-9562-178e716bd58c
300,Convolutional Neural Networks,taxonomy:3a5361e5-405d-48eb-a76b-1222ce4b1501
300,Image Classification,taxonomy:4f65fca2-6442-4c7d-b039-a5c2beecc1c9
300,Transfer Learning,taxonomy:922f23a5-23fe-4cb4-951f-26bc83155c1f
300,Deep Learning,taxonomy:f4834521-b707-466a-b837-a2c04ac0018c
300,Model Evaluation,taxonomy:1589e6c2-9dcc-42ed-bddb-76bda97fdc21
300,Data Augmentation,taxonomy:5640163f-b50e-4904-930c-a90494ec425d
856,Product Proposals,taxonomy:401f6760-4e91-45af-903f-e7f73a374f29
856,Formal Written Communication,taxonomy:287daf73-ddf6-4763-90a6-f05f68a15b03
856,Report Writing,taxonomy:bb4df529-491b-4627-a06c-ed5ca471e490
856,Project Briefs,taxonomy:2d3ee146-7433-4206-951b-794cb7bfd670
856,Project Charters,taxonomy:465d8217-0d8d-47b0-8585-b094ff3f818d
2006,Time-Series Analysis,taxonomy:ad0f7d5c-9fe6-48c8-936c-9511003c8263
2006,Time-Series Forecasting,taxonomy:e95a20f0-ea39-45a8-afae-8cdfe81efcff
2006,Data Visualization,taxonomy:a1721587-9a5c-4da0-8f56-42cfe2209997
2006,Exploratory Data Analysis,taxonomy:72155ac5-3dab-4df6-9120-ca634748a68c
2006,Historical Data Analysis,taxonomy:c537047c-128d-426d-bf23-283b9b429190
825,Web Development,taxonomy:613860ab-e523-43c1-a440-f2ec9a463b6d
825,HTML,taxonomy:68fd6376-977b-4779-a808-a32772b5a7f7
825,CSS,taxonomy:5bfd16ee-b475-46cd-a7c6-db7a6ee8ef4c
825,Responsive Web Design,taxonomy:72f65330-771d-4846-8ca1-de2065b637a5
825,Website Performance Optimization,taxonomy:c60de12b-21b1-4d2f-b984-bc8027938fbc
825,UI Design,taxonomy:e621e634-ed70-4937-8db7-22836a2294bb
825,UX Design Principles,taxonomy:a1cbb6c1-912f-4ab7-aaea-bef2a6a671c8
347,Drone Flight Control,taxonomy:0b7c211d-83cf-4b3e-a0af-12ccf4f42568
347,Quadrotor Dynamics,taxonomy:a2123f3a-5219-43fa-88dd-697245041fff
347,Reinforcement Learning Fundamentals,taxonomy:8d8eab3f-a95e-4725-ac2e-c7d74efff294
347,3D Robot Motion Control,taxonomy:5bd42aa8-ee67-403f-a6b7-6f137d7bfbbf
347,Sensors,taxonomy:0f5b475f-6f2d-47e2-9281-6836e56883e8
347,Quadrotor Control Systems,taxonomy:8da2af7f-47ca-4370-b83e-34234bc0360e
347,Autonomous Systems Awareness,taxonomy:5ed46352-9a15-4f6c-9b12-b46fa4913de5
1921,Amazon Web Services Basics,taxonomy:604510fb-36ee-4eb1-b241-a3407947cb58
1921,API Development,taxonomy:6d54442c-f369-478e-9acc-f9f7e9d57181
1921,Cloud Resource Provisioning,taxonomy:47b5d7ec-835f-479a-a08b-e8e2e38d1912
1921,Application Development Proficiency,taxonomy:70e353e2-695f-41b6-ba25-ac2d926e8bb1
1921,Cloud Architecture Proficiency,taxonomy:e8232926-b456-46b8-a0fc-0387e691b389
1921,Containerization Fluency,taxonomy:dd00d8af-7d11-4efe-8bc8-cf7fca0d9030
1921,Web Development,taxonomy:613860ab-e523-43c1-a440-f2ec9a463b6d
2129,Software Testing,taxonomy:69cd3361-ea97-40bc-abc4-3a57c0dc4039
2129,Test Automation,taxonomy:544b0d48-fb25-4e65-9946-db0ec86d9d09
2129,Unit Testing,taxonomy:0000721e-fbde-4667-8143-60f5f38f9bc9
2129,Integration Testing,taxonomy:f30aa7b7-f49f-4429-ab52-6960620bc8a7
1945,Android Development Basics,taxonomy:8792dcb6-0124-4106-9453-69c05cb309da
1945,Android UI Development,taxonomy:aba01f30-7a0b-4442-9a45-58f927ae549a
1945,Application Animations,taxonomy:6dc42a87-a9cf-4f71-bf28-a44e73b4ba60
1945,Application Visual Design,taxonomy:0d01e305-3f74-42c4-98ee-6c356b0592ad
1945,Multi-Screen App Design,taxonomy:1e26c717-cf0e-4e1b-8239-c44e5a597e8c
854,Project Planning,taxonomy:04fabc67-ce4a-4bfc-bc15-7733cb0eddea
854,Process Improvement,taxonomy:cf526af9-8cd8-453c-823e-d7b7b7b4a072
854,Project Management,taxonomy:d56806ee-27f1-4124-9337-c982733d816f
854,Product Strategy,taxonomy:dfd565b7-2c5b-4bcb-acf0-901754c3bff1
854,Data Minimization,taxonomy:8ebb1abd-5253-437b-92d5-0161bfc1486d
1948,Automated Path Planning,taxonomy:979f4f4b-6145-4234-aef3-d0598f759016
1948,A* Search Algorithm,taxonomy:72c34967-f576-4495-8b8c-d8fa8746ab13
1948,Graph Algorithms,taxonomy:ece176fa-7b56-46a2-8139-49cc164aa233
1948,Planning Algorithms,taxonomy:8cc6ebe7-f9ac-4a12-976f-dd9fb92a5d29
1948,Probabilistic Path Planning,taxonomy:a44c52ea-20fa-4277-9520-6f965297b3d9
1948,Sample-Based Path Planning,taxonomy:d92d340f-632c-4281-8140-8c4aeb8ce242
2179,iOS UI Development,taxonomy:a80df530-bd68-4eff-b216-9694b7930694
2179,Swift Syntax,taxonomy:0bd67754-7fbb-4ea8-948d-3e72e45eac00
2179,SwiftUI,taxonomy:7b29f215-5f08-438b-b106-d48b40dd57d0
2179,UIKit Classes,taxonomy:1e80f034-31ce-4f7a-848d-9931dd8c4fe6
2179,iOS Animations,taxonomy:b2c06db6-88e3-4380-8719-ad303ac29e78
2179,iOS Gestures,taxonomy:70dcfe5d-0994-493e-8e46-4c783a80c957
2179,Swift Proficiency,taxonomy:a4275903-4753-4812-b1b8-11dcd0a161c3
2175,Retrieval-Augmented Generation,taxonomy:580d491c-0976-4678-b23a-27da8516748d
2175,Implementing Single-agent RAG,taxonomy:c9a25e71-d0b9-4c29-ae49-9354ec3bf2d2
2175,Large Language Models,taxonomy:567f4a1c-f285-4900-9528-ab00700de9c1
2175,Finance and Technology,taxonomy:5ad8b365-d425-4497-b215-28e2611a24ba
2175,Intelligent Agents,taxonomy:fc8c02aa-78c9-4bb8-8548-79cb60de45d9
2175,Agentic Reasoning Frameworks,taxonomy:85b8211a-2624-49c3-888d-a829c6aae4fa
2175,AI Business Context,taxonomy:4fe5fbfa-b6e5-4601-9e04-633cf1ea3fe3
2009,Data Wrangling,taxonomy:ab0c1635-2aaf-4167-bff2-1d825a30f30d
2009,Data Cleaning,taxonomy:9987cca4-48a2-416e-8c72-4c5a992ef174
2009,Data Transformation,taxonomy:21fecc35-32f8-4c61-a001-8f56edbb5e51
2009,Data Analysis Process,taxonomy:d016d8f9-4f43-4bb9-a4c2-ad967c2fe414
2009,Exploratory Data Analysis,taxonomy:72155ac5-3dab-4df6-9120-ca634748a68c
2009,Data Gathering,taxonomy:05e337c4-cb39-4001-bc14-bf91dd150fe8
2009,Python for Data Science,taxonomy:5c21de8f-f1c6-4ccf-8b1a-2ade1dac1328
1894,Cloud Computing Awareness,taxonomy:129dc97e-7706-4282-a3cb-91bc82012d78
1894,Cloud Computing Fluency,taxonomy:85cf2523-7ecf-4242-b37b-13dc34622ece
1894,Cloud Computing Business Context,taxonomy:01a3e72d-c629-4840-87f4-6cb0cdfc011f
1894,Executive-Level Communication,taxonomy:ef9dfefd-bf15-4d27-aba4-48d42ad288fb
1894,Cloud Governance Strategy,taxonomy:39f55f02-356f-4243-a719-7b76abd956d9
1894,Digital Technologies Knowledge,taxonomy:e3a79214-c9d5-4d09-a53e-56b3db46fc58
2100,Back-End Development,taxonomy:94fc7de2-1935-4d30-8dcf-2ca1b2b462ad
2100,PostgreSQL,taxonomy:25d08718-0969-4ffc-bb23-0e399614c0ab
2100,Database Design,taxonomy:57784d55-69e4-4792-81a8-7d1db241112c
2100,API Development,taxonomy:6d54442c-f369-478e-9acc-f9f7e9d57181
2100,SQL Proficiency,taxonomy:bb5521e8-10d8-4359-a311-289db8028e09
2100,RDBMS Proficiency,taxonomy:d4590eff-adae-4579-bdd6-e3ad5448f560
2100,Database Performance,taxonomy:9c1a3bb2-8c13-4649-a64e-4e36763c1620
2152,Business Reporting Fluency,taxonomy:8e92ed1a-219f-4eed-a1fb-428a7a487f7a
2152,Business Intelligence,taxonomy:3182ea40-cf82-4916-9d56-6002c6f9054d
2152,LangChain,taxonomy:ced0779c-2246-4ec0-b507-8aa5fa01a92c
2152,Large Language Models,taxonomy:567f4a1c-f285-4900-9528-ab00700de9c1
2152,Implementing Single-agent RAG,taxonomy:c9a25e71-d0b9-4c29-ae49-9354ec3bf2d2
2152,Report Writing,taxonomy:bb4df529-491b-4627-a06c-ed5ca471e490
2152,Agent Tool Use,taxonomy:a26f425c-0913-4216-9b0d-4299d35d8890
2122,Software Testing,taxonomy:69cd3361-ea97-40bc-abc4-3a57c0dc4039
2122,Test Automation,taxonomy:544b0d48-fb25-4e65-9946-db0ec86d9d09
2122,Functional Testing,taxonomy:1ca082f7-ea17-41cd-9b92-6fa8f1add192
2122,Integration Testing,taxonomy:f30aa7b7-f49f-4429-ab52-6960620bc8a7
2122,Unit Testing,taxonomy:0000721e-fbde-4667-8143-60f5f38f9bc9
748,Product Proposals,taxonomy:401f6760-4e91-45af-903f-e7f73a374f29
748,Formal Written Communication,taxonomy:287daf73-ddf6-4763-90a6-f05f68a15b03
748,Professional Presentations,taxonomy:a46fff1a-0371-4054-8c9c-8d43e20f58b3
748,Project Briefs,taxonomy:2d3ee146-7433-4206-951b-794cb7bfd670
748,Google Docs,taxonomy:56250530-ca3c-4e23-ac0c-6d36b46d1f26
830,Image Classification,taxonomy:4f65fca2-6442-4c7d-b039-a5c2beecc1c9
830,Convolutional Neural Networks,taxonomy:3a5361e5-405d-48eb-a76b-1222ce4b1501
830,Deep Learning Applications,taxonomy:6a3b7e80-add4-4f3a-842e-22cb86ec84db
830,Computer Vision Proficiency,taxonomy:312abaca-2a8a-47de-a202-ea42ddc6ebe7
830,Model Training,taxonomy:408e2022-6b3b-4224-8250-8fd35b365197
830,Transfer Learning,taxonomy:922f23a5-23fe-4cb4-951f-26bc83155c1f
2133,API Design,taxonomy:7dae4495-4ee9-45c5-a1b5-2c7e19c31440
2133,API Development,taxonomy:6d54442c-f369-478e-9acc-f9f7e9d57181
2133,API Documentation,taxonomy:bc8ca0eb-835c-4710-baab-d97379431375
2133,API Management,taxonomy:54934070-572a-49ea-9dd4-1336d630e4b7
2133,REST APIs,taxonomy:b003c9b7-2ef7-4dbc-a6e0-4dd2668fd88f
2133,API Security,taxonomy:25b42dbf-2f6a-4eb7-8f98-4c22e60475c0
2133,API Testing,taxonomy:91ec85dd-7d2e-4051-a689-2d91df6392df
850,Data Science Awareness,taxonomy:6893d8da-8b46-44e1-9673-24132af69107
850,Data Science Fluency,taxonomy:02d14404-f4c7-45f1-b952-054610543dd4
850,Data Literacy Awareness,taxonomy:0f190c76-7038-432e-8714-dceb7090c928
850,Data Visualization in Spreadsheets,taxonomy:bd5dc3c2-d323-4704-aaa2-f3d2c4b3493e
850,Statistical Modeling Fundamentals,taxonomy:4aee98b5-446b-470b-b712-c8f3f37be599
850,Python for Data Science,taxonomy:5c21de8f-f1c6-4ccf-8b1a-2ade1dac1328
850,SQL Proficiency,taxonomy:bb5521e8-10d8-4359-a311-289db8028e09
2111,Executive-Level Communication,taxonomy:ef9dfefd-bf15-4d27-aba4-48d42ad288fb
2111,Marketing Reports,taxonomy:9994e6fa-00b0-4a0c-b8c2-5dcaf2a7dfd0
2111,Business Reporting Fluency,taxonomy:8e92ed1a-219f-4eed-a1fb-428a7a487f7a
2111,Marketing KPIs,taxonomy:301005be-c237-401d-a2ba-c9d161857d4f
2111,Actionable Insight Generation,taxonomy:71c19674-32c6-45b6-aa81-7fd371872c90
2111,Report Writing,taxonomy:bb4df529-491b-4627-a06c-ed5ca471e490
2111,Business Metrics,taxonomy:518ef557-f172-40f7-9eb2-ec9eaa9dc327
2094,Stakeholder Management,taxonomy:29abb81a-ddab-40f4-9458-fa55bc5bdf82
2094,Project Management,taxonomy:d56806ee-27f1-4124-9337-c982733d816f
2094,Organizational Skill Gap Analysis,taxonomy:c860d6fa-7ca3-42a4-a4f9-331dbd2dbedf
2094,Value Proposition,taxonomy:34a397cc-f396-42d9-85aa-1bf4f691cc5d
2094,Strategic Thinking,taxonomy:c2e087f7-c022-429f-9279-31b56c6701e2
2010,Data Storytelling,taxonomy:cc8ba3b6-c5f7-451b-82d5-6356cf12f158
2010,Data Visualization,taxonomy:a1721587-9a5c-4da0-8f56-42cfe2209997
2010,Data Literacy Awareness,taxonomy:0f190c76-7038-432e-8714-dceb7090c928
2010,Quantitative Data Visualization,taxonomy:d8729113-91a8-4e9e-9796-742f111717fa
2010,Qualitative Data Visualization,taxonomy:5136ce17-51be-45e4-9214-e5b679402566
2010,Technical Communication,taxonomy:eca4f2e3-6968-41a1-aa83-4d75ba02e39a
1914,Data Preparation,taxonomy:d55fd33a-4d31-4215-abb3-0ab0cddc0ed5
1914,Data Cleaning,taxonomy:9987cca4-48a2-416e-8c72-4c5a992ef174
1914,Data Analysis Process,taxonomy:d016d8f9-4f43-4bb9-a4c2-ad967c2fe414
1914,Exploratory Data Analysis,taxonomy:72155ac5-3dab-4df6-9120-ca634748a68c
1914,Data Wrangling,taxonomy:ab0c1635-2aaf-4167-bff2-1d825a30f30d
1914,Data Transformation,taxonomy:21fecc35-32f8-4c61-a001-8f56edbb5e51
1914,Data Profiling,taxonomy:1a59d052-a466-44e4-9469-5038b5da5829
2174,Financial Data Security,taxonomy:4b55f9c8-1d38-45ae-9cce-41efaabb109d
2174,AI Fraud Detection,taxonomy:2a308f4e-e7a7-45ee-992d-e068c3aabe4b
2174,Data Privacy Regulations,taxonomy:a2d786e6-090b-4e6b-b6ff-e202499a9f67
2174,Cybersecurity Compliance,taxonomy:16da1c1b-af1e-4d48-84d3-edf335abb213
2174,Machine Learning Frameworks in Python,taxonomy:d323dcfc-63c9-4a48-a4bd-78cd763237ee
2174,Cloud Compliance,taxonomy:995ce018-ea4e-4996-86f3-fea8fb684300
1946,Classes,taxonomy:0fb7dfb6-20fd-48b2-8e14-391c2f9df82f
1946,Encapsulation,taxonomy:323e3312-5621-4130-9354-97238fd2066f
1946,Object-Oriented Programming Basics,taxonomy:aa2bbe32-93c5-4545-9902-69f9d9797409
1946,Matrix Operations,taxonomy:8ec584d5-4910-4531-b6b7-a68e9eb493ea
1946,Unit Testing,taxonomy:0000721e-fbde-4667-8143-60f5f38f9bc9
1946,Object-Oriented Design Patterns,taxonomy:39f8f68e-2c62-4ff4-800b-09312d774431
1946,Data Structures,taxonomy:3daf17f2-2dc9-4183-a3d2-61008ac13db0
1950,Object Detection,taxonomy:5a573399-6ecd-4d51-af82-93d97ac2c9e0
1950,Region-Based Convolutional Neural Networks,taxonomy:a0021521-b3dd-499b-842c-bba4aa837f84
1950,Sensor Fusion,taxonomy:059c9bac-0049-4d46-8510-a407f1022aa2
1950,Deep Learning,taxonomy:f4834521-b707-466a-b837-a2c04ac0018c
1950,Computer Vision Proficiency,taxonomy:312abaca-2a8a-47de-a202-ea42ddc6ebe7
1950,Object Localization,taxonomy:d41155b8-8980-44de-b1ee-64c6729c899b
1950,3D Object Detection,taxonomy:5a573399-6ecd-4d51-af82-93d97ac2c9e0
859,Healthcare Privacy Regulations,taxonomy:25032942-00ff-4203-aa73-980c8e159134
859,HIPAA,taxonomy:bf64952a-2fc7-40fb-b17a-c8e17db85025
859,Data Privacy Regulations,taxonomy:a2d786e6-090b-4e6b-b6ff-e202499a9f67
859,Data Privacy Principles,taxonomy:fc6603f7-4599-48fb-9b2d-3c51c8eb75ab
859,Privacy Risk Assessment,taxonomy:3591329c-03b1-40d4-85a1-7109b4191819
2027,Business Intelligence,taxonomy:3182ea40-cf82-4916-9d56-6002c6f9054d
2027,Data Visualization,taxonomy:a1721587-9a5c-4da0-8f56-42cfe2209997
2027,Tableau Dashboard Creation,taxonomy:ace3a8f1-4a1f-40d9-98e4-eae4a34793c0
2027,Power BI Report Design,taxonomy:05d98c23-5985-4d9f-9c28-292be330a419
2027,Google Data Studio,taxonomy:bf21b33f-2a63-4b0b-b125-1f467e783e83
2158,Intelligent Agents,taxonomy:fc8c02aa-78c9-4bb8-8548-79cb60de45d9
2158,Multi-Agent System Design,taxonomy:66fa535c-9874-4e8a-8410-8113e5a658d5
2158,Agentic Reasoning Frameworks,taxonomy:85b8211a-2624-49c3-888d-a829c6aae4fa
2158,Reinforcement Learning Applications,taxonomy:138816a5-fa87-4ce5-953f-60ba17cc6ff2
2158,Implementing Multi-Agent Architectures,taxonomy:7731b656-7536-490f-9e0c-ba170b42fda8
2158,Automated Planning Problem Definition,taxonomy:89146677-751e-4d8c-8d30-8910b038f107
2158,AI Agents,taxonomy:b21d0457-0a64-4b95-9683-a3f703fac781
552,Sentiment Analysis,taxonomy:edea0deb-c3c4-4911-82b1-e09065995e5b
552,Neural Networks,taxonomy:2a0d08d5-cf5a-4281-ad3e-f5ae4aa4fbc4
552,Deep Learning,taxonomy:f4834521-b707-466a-b837-a2c04ac0018c
552,Word Embeddings,taxonomy:2df23c86-f1d3-484b-8a81-9dc0ccdc49ba
552,Long-Short Term Memory Networks,taxonomy:38ca9aa1-6416-435e-bece-d6874550f49b
552,Text Pre-Processing,taxonomy:95f886b3-08eb-46fd-8e06-bd68902fe3e1
552,Training Neural Networks,taxonomy:b0302509-7bc0-4b51-b47a-fbd3bc3a320f
786,Data Modeling Basics,taxonomy:9b0bbbc2-ede3-4ff4-9dfa-08898b18123e
786,NoSQL Data Models,taxonomy:11f53927-162e-4789-8f0f-57b14919880b
786,CassandraDB,taxonomy:0e67b089-1762-4c6a-ab1b-3eaf368e96bb
786,Column-Oriented DBMSs,taxonomy:c5f6058c-f407-4c68-b4b1-c49b2876c98a
786,Distributed Data Storage,taxonomy:7d9daecd-7b3c-4caf-a821-968838a13615
786,Database Design,taxonomy:57784d55-69e4-4792-81a8-7d1db241112c
2172,AI-assisted Code Development,taxonomy:5213b2fc-d308-4371-85e8-2b236926ba03
2172,GitHub Copilot,taxonomy:babd7a0c-a8da-452f-b8eb-92aca685cde5
2172,Code Refactoring,taxonomy:91196cc1-5a47-4caf-bbc4-6c46f095887c
2172,Technical Debt Management,taxonomy:7ccb2b30-701a-4328-a6d1-f778e24e92f3
2172,Modular Code,taxonomy:c2467e71-d331-43e7-9b3a-1b281c48c463
2172,Software Development Proficiency,taxonomy:e7cea2f0-a901-4ffc-a5b4-19677a7fa8eb
137,Product Prototyping,taxonomy:e20260a5-3258-455f-a096-b3d9ee742b7e
137,Rapid Prototyping,taxonomy:61c0f74b-33ad-45d1-a7ed-62fd8abef785
137,Prototype Testing,taxonomy:d768c38f-f943-4174-971b-0355dec218fa
137,High Fidelity Prototypes,taxonomy:8155fb09-efac-43f3-ab71-570572be415e
137,Low Fidelity Prototypes,taxonomy:2035de47-47be-4e39-b61a-7ff15797dbed
374,Environment Mapping,taxonomy:75ae5f58-493e-473e-9393-a85e5610fbe1
374,SLAM,taxonomy:02771c20-72e5-4cba-b81c-3f8e47f41b14
374,Robot Navigation,taxonomy:feaaa3ff-9335-476c-8eeb-1dd8a96fcae2
374,Object Localization,taxonomy:d41155b8-8980-44de-b1ee-64c6729c899b
374,Location-Aware App Development,taxonomy:b7759589-eef5-4683-983d-cf0187ff9e42
374,GPS,taxonomy:b817348f-a39e-4114-8e5d-70eab61d26d7
374,Sensors,taxonomy:0f5b475f-6f2d-47e2-9281-6836e56883e8
1912,Control Algorithms,taxonomy:2fb9c28f-f210-46c7-9a4a-683a76ed8c09
1912,Actuators,taxonomy:6d896298-2bed-4237-9046-1d934a4d0efb
1912,Motors,taxonomy:42c8c3c2-ad08-4359-aeeb-efcd4d8843cf
1912,PID Controller,taxonomy:8c41cf2c-95a9-4052-8b5e-522c6a65e8bb
1912,Control Systems,taxonomy:02a91597-8c43-4926-9d64-02fda6ffec89
1912,CAN Bus,taxonomy:b3edb315-08d3-4e1a-b747-0f850b4dc561
1912,Embedded system communication protocols,taxonomy:c7eb76a2-4d87-43a9-98bb-552ed9a864b7
2007,Data Gathering,taxonomy:05e337c4-cb39-4001-bc14-bf91dd150fe8
2007,Data Cleaning,taxonomy:9987cca4-48a2-416e-8c72-4c5a992ef174
2007,Data Wrangling,taxonomy:ab0c1635-2aaf-4167-bff2-1d825a30f30d
2007,Exploratory Data Analysis,taxonomy:72155ac5-3dab-4df6-9120-ca634748a68c
2007,Data Profiling,taxonomy:1a59d052-a466-44e4-9469-5038b5da5829
2007,Data Visualization in Spreadsheets,taxonomy:bd5dc3c2-d323-4704-aaa2-f3d2c4b3493e
2007,Basic Descriptive Statistics,taxonomy:90fdb116-8ba0-4371-8108-0c6078333c1b
564,Blockchain,taxonomy:341aea33-5962-41ca-9ac8-3f66b4884149
564,Blockchain Transactions,taxonomy:a211c747-6147-4650-a5a6-f6326a256c9a
564,Smart Contracts,taxonomy:25a77755-dbd1-4bf8-adb9-cbb5973e7398
564,Solidity,taxonomy:6a159831-a102-4bb3-9294-46d3d574aed5
564,Back-End Development,taxonomy:94fc7de2-1935-4d30-8dcf-2ca1b2b462ad
281,Portfolios,taxonomy:a626b923-05ab-4f67-ac4d-70a4fc70ef94
281,Portfolio Websites,taxonomy:bab14ffd-fc0e-4861-9140-06f742545d95
281,GitHub Portfolios,taxonomy:a626b923-05ab-4f67-ac4d-70a4fc70ef94
281,HTML,taxonomy:68fd6376-977b-4779-a808-a32772b5a7f7
281,CSS,taxonomy:5bfd16ee-b475-46cd-a7c6-db7a6ee8ef4c
281,Responsive App Design,taxonomy:9a024220-a4d7-4252-b9f2-a1b9c0f4a350
281,Web Development,taxonomy:613860ab-e523-43c1-a440-f2ec9a463b6d
2057,Swift Proficiency,taxonomy:a4275903-4753-4812-b1b8-11dcd0a161c3
2057,iOS UI Development,taxonomy:a80df530-bd68-4eff-b216-9694b7930694
2057,SwiftUI,taxonomy:7b29f215-5f08-438b-b106-d48b40dd57d0
2057,UIKit Classes,taxonomy:1e80f034-31ce-4f7a-848d-9931dd8c4fe6
2057,XCode IDE Basics,taxonomy:9aeffafd-2ccd-456d-8393-c3bd5a973b83
2057,Mobile App Testing,taxonomy:b4e4daf7-05bf-4a55-8342-71571e532e87
2057,Object-Oriented Programming Basics,taxonomy:aa2bbe32-93c5-4545-9902-69f9d9797409
2092,Text Classification,taxonomy:978d1c8a-bf58-4ae5-91b8-fdb1b86e25a3
2092,Text Pre-Processing,taxonomy:95f886b3-08eb-46fd-8e06-bd68902fe3e1
2092,Machine Learning Model Implementation,taxonomy:4e7616e9-fd25-463b-8c0c-77c32cff9732
2092,Model Evaluation,taxonomy:1589e6c2-9dcc-42ed-bddb-76bda97fdc21
2092,Support Vector Machines,taxonomy:d7c9583c-ad5d-4ee2-990a-79eadc7ebd8b
2092,Naive Bayes classifiers,taxonomy:67a77e20-6e24-4508-9894-f1898428404c
2092,Sentiment Analysis,taxonomy:edea0deb-c3c4-4911-82b1-e09065995e5b
2178,Cybersecurity Regulations and Standards,taxonomy:86aa93e2-c467-4953-85c9-156ad9a1a8c2
